quartier,vente_psqm_01,loyer_psqm_01,rendement_wc_01,immeubles_vente,immeubles_loc,apparies,low_sample,delistees_3j,taux_delistage_pct
Pathum Wan,179259,804.4,4.66,41,50,30,0,135,41.2
Bang Rak,167093,621.1,4.46,44,39,30,0,85,35.6
Ratchathewi,155556,602.7,4.72,55,51,41,0,113,40.9
Khlong Toei,141625,614.6,5.15,111,113,85,0,185,37.4
Vadhana,139220,586.7,5.24,169,181,134,0,341,35.9
Dusit,136364,468.1,,3,2,1,1,1,16.7
Sathon,135625,523.3,5.06,36,40,26,0,52,17.5
Phaya Thai,119048,505.1,4.86,41,38,23,0,30,38
Bang Kho Laem,111246,499.6,5.14,18,14,12,1,20,15.4
Pom Prap Sattru Phai,106667,400,,1,1,1,1,,
Khlong San,106522,459.5,4.96,43,35,26,0,31,21.1
Din Daeng,101260,472.2,4.99,34,21,17,0,7,29.2
Chatuchak,94502,512.1,5.23,101,64,44,0,23,13.9
Huai Khwang,92995,490,5.38,84,63,50,0,47,24.2
Phra Khanong,90000,485.4,5.55,55,44,34,0,7,23.3
Bang Na,89141,492.6,,3,2,2,1,,
Phra Nakhon,86486,370.6,,1,1,1,1,,
Lat Phrao,86199,451.6,,11,6,3,1,3,33.3
Thon Buri,86038,395.2,5.55,25,39,22,0,3,8.3
Bangkok Yai,84273,386.1,5.38,15,13,11,1,2,0.9
Yan Nawa,83944,365.2,5.46,34,28,17,0,18,30
Bang Na,82115,399.2,5.73,42,31,24,0,11,42.3
Bang Phlat,81373,409.2,5.35,22,32,17,0,3,10
Bang Sue,81362,384.3,5.51,30,18,16,1,26,7.9
Bangkok Noi,80731,406.8,5.61,25,33,20,0,5,2.2
Bang Khen,75600,460.3,,15,6,2,1,2,20
Don Mueang,75000,293.2,,3,2,1,1,,
Min Buri,73478,305.8,5.57,7,10,6,1,,
Bang Kapi,71821,428.6,5.66,37,37,25,0,5,9.4
Chom Thong,71816,319,5.65,18,23,16,1,1,16.7
Khan Na Yao,71154,314.3,,7,5,4,1,1,11.1
Sai Mai,70153,245.5,,5,2,0,1,1,25
Phasi Charoen,67046,342.9,5.81,22,32,17,0,9,15.8
Pak Kret,66465,,,1,0,0,1,1,50
Thung Khru,66458,403.2,,2,2,1,1,,
Suan Luang,66071,415.6,5.84,35,31,16,0,11,33.3
Lak Si,64337,,,5,0,0,1,2,66.7
Saphan Sung,64200,,,2,0,0,1,,
Rat Burana,64039,285.7,5.78,10,13,9,1,1,50
Bang Khae,63289,339.2,,8,8,4,1,,
Bang Khun Thian,63043,,,3,0,0,1,,
Prawet,62625,368.9,,12,4,3,1,4,11.8
Lat Krabang,53745,313.6,,6,1,1,1,1,11.1
Bueng Kum,53722,277.2,5.98,20,22,19,0,1,20
Wang Thonglang,52778,344.8,6.42,28,29,18,0,,
Taling Chan,47450,260.4,,2,2,1,1,,
Bang Bon,39286,,,1,0,0,1,,
Bearing,,551.7,,0,1,0,1,,
