quartier,vente_psqm_01,loyer_psqm_01,rendement_wc_01,immeubles_vente,immeubles_loc,apparies,low_sample,delistees_3j,taux_delistage_pct,population_dopa,ventes_pour_1000_hab,locs_pour_1000_hab
Pathum Wan,177113,719.6,4.62,52,68,40,0,2,9.1,37923,21.97,34.2
Bang Rak,166667,625.3,4.59,55,56,43,0,15,34.1,39707,18.26,15.69
Dusit,151573,451.3,,2,4,0,1,,,71858,0.39,0.1
Ratchathewi,149825,607.1,4.76,69,71,59,0,,,60283,14.1,16.07
Khlong Toei,138415,621,5.26,146,164,110,0,36,62.1,87966,21.97,26.64
Sathon,136146,514.3,4.92,46,48,33,0,,,68564,10.89,11.1
Vadhana,135877,585,5.31,198,213,156,0,1,100,79175,37.9,46.1
Phaya Thai,114444,511.3,4.8,59,53,35,0,6,75,62754,4.76,3.7
Pom Prap Sattru Phai,112575,382.9,,1,2,1,1,,,35338,0.06,0.08
Khlong San,107428,448.4,4.77,56,46,38,0,9,40.9,60945,9.86,6.97
Bang Kho Laem,102668,593.8,4.31,20,17,11,1,1,100,74032,3.73,2.72
Din Daeng,99601,463.8,5.19,54,39,30,0,7,41.2,108062,3,1.85
Chatuchak,88559,500,5.33,150,100,81,0,2,100,154601,4.56,4
Phra Nakhon,86486,469.5,,1,2,1,1,,,37933,0.05,0.21
Yan Nawa,86258,412.7,5.82,48,31,24,0,6,66.7,72086,5.44,3.19
Huai Khwang,85000,478.2,5.86,129,106,79,0,31,53.4,83847,11.56,13.1
Bangkok Yai,84273,386.1,5.36,15,13,12,1,2,50,58364,4.57,1.68
Thung Khru,82917,452.8,,3,1,1,1,,,124053,0.08,0.04
Bang Sue,82812,369.3,5.26,39,30,25,0,1,14.3,115929,3.99,1.41
Phra Khanong,81724,427.9,5.56,77,64,49,0,7,58.3,83548,5.3,5.54
Bangkok Noi,80513,398.4,5.41,26,34,19,0,2,50,94197,2.6,3.41
Thon Buri,79110,382.6,5.83,32,40,26,0,1,33.3,94859,2.29,2.61
Bang Phlat,76685,375,5.52,38,33,26,0,4,57.1,85459,1.8,2.55
Lat Phrao,72296,393.9,,14,9,4,1,1,33.3,110214,0.37,0.3
Bang Khen,68975,363.6,5.92,34,21,10,0,2,50,183009,0.53,0.24
Don Mueang,68801,354.2,,4,5,2,1,,,165587,0.11,0.04
Min Buri,68293,305.8,5.43,9,8,7,1,1,100,140302,0.41,0.55
Bang Na,68293,398,5.69,61,44,28,0,7,50,84348,4.24,4.1
Phasi Charoen,67901,343.1,5.82,39,30,24,0,3,60,120431,1.31,1.83
Suan Luang,67391,426.2,6.38,54,45,31,0,9,69.2,123145,2.13,1.38
Lak Si,67262,348.2,,10,4,2,1,1,50,96365,0.38,0.09
Chom Thong,66917,319,5.69,22,19,18,1,4,100,136892,1.57,1.24
Bang Kapi,65172,421.2,6.11,60,38,33,0,13,68.4,140471,1.89,1.99
Rat Burana,65000,285.7,5.74,13,12,9,1,2,100,74161,1.44,1.17
Sai Mai,63776,387.5,,7,4,3,1,,,213001,0.14,0.04
Khan Na Yao,62902,391.2,,12,4,2,1,,,92605,0.35,0.08
Wang Thonglang,59458,336.8,6.43,36,23,19,0,4,66.7,101898,1.97,1.88
Lat Krabang,57848,,,13,0,0,1,1,50,182840,0.22,0.02
Bang Khun Thian,57551,281.2,,8,2,2,1,,,185278,0.12,0.04
Bang Khae,57252,326.9,5.92,14,9,7,1,,,191610,0.2,0.17
Bueng Kum,51952,266.7,6.25,24,19,18,1,1,50,134204,1.01,0.39
Taling Chan,46653,260.4,,2,2,1,1,,,100213,0.13,0.14
Prawet,41667,307.7,,13,8,4,1,2,100,183369,0.35,0.2
Saphan Sung,39960,,,3,0,0,1,,,97935,0.12,0.15
Bang Bon,39286,264.7,,1,1,0,1,,,97671,0.01,0.01
Nong Khaem,,140,,0,1,0,1,,,154398,0.03,0.01
Samphanthawong,,254.6,,0,1,0,1,,,17930,0.11,0.39
