quartier;vente_psqm_01;loyer_psqm_01;rendement_wc_01;immeubles_vente;immeubles_loc;apparies;low_sample;delistees_3j;taux_delistage_pct;population_dopa;ventes_pour_1000_hab;locs_pour_1000_hab
Pathum Wan;177039;730,6;4,58;56;62;38;0;;;37923;22,7;33,28
Bang Rak;158981;648,9;4,64;53;55;42;0;;;39707;18,59;15,49
Dusit;151496;488,9;;3;3;0;1;;;71858;0,68;0,08
Ratchathewi;147390;612,9;4,67;70;67;56;0;;;60283;14,86;15,81
Khlong Toei;136241;603,9;5,32;150;162;108;0;;;87966;23,44;26,24
Vadhana;136096;581,4;5,29;199;214;161;0;;;79175;40,88;45,86
Sathon;133747;514,3;4,96;50;49;34;0;;;68564;11,48;11,1
Phaya Thai;113213;518,6;4,89;63;53;37;0;;;62754;5,48;4,21
Pom Prap Sattru Phai;112575;382,9;;1;2;1;1;;;35338;0,06;0,11
Khlong San;106522;450,3;4,79;57;44;37;0;;;60945;10,57;6,69
Din Daeng;100865;491,2;5,38;57;36;29;0;;;108062;3,16;1,65
Bang Kho Laem;99772;596,9;4,55;22;16;12;1;;;74032;4,11;2,27
Phra Nakhon;86486;469,5;;1;2;1;1;;;37933;0,05;0,21
Yan Nawa;86406;411,8;5,48;49;29;19;0;;;72086;6,1;2,87
Chatuchak;86387;505,3;5,3;160;95;82;0;;;154601;5,1;3,94
Bangkok Yai;84934;386,1;5,36;15;13;12;1;;;58364;4,59;1,7
Thung Khru;84892;480,8;;4;1;1;1;;;124053;0,09;0,03
Huai Khwang;84231;491,9;5,73;133;100;79;0;;;83847;13,04;12,27
Phra Khanong;82825;434,2;5,75;77;66;52;0;;;83548;5,6;5,35
Bang Sue;82812;390,9;5,32;41;29;24;0;;;115929;4,21;1,43
Bangkok Noi;80351;398,4;5,41;25;34;19;0;;;94197;2,62;3,26
Thon Buri;75930;388,7;5,88;39;40;31;0;;;94859;2,72;2,73
Bang Phlat;75862;375;5,56;37;33;25;0;;;85459;1,92;2,56
Lat Phrao;75600;393,9;;11;9;3;1;;;110214;0,34;0,26
Bang Na;69004;406,5;5,73;61;44;27;0;;;84348;4,58;3,83
Suan Luang;68846;423,7;6,37;55;44;32;0;;;123145;2,37;1,43
Phasi Charoen;68779;343,1;5,78;42;30;25;0;;;120431;1,45;1,84
Min Buri;67617;305,8;5,43;10;8;7;1;;;140302;0,42;0,54
Chom Thong;66917;307,3;5,68;22;19;18;1;;;136892;1,65;1,24
Don Mueang;66768;354,2;;5;5;2;1;;;165587;0,11;0,03
Lak Si;66038;339,3;;9;3;2;1;;;96365;0,44;0,08
Rat Burana;65000;285,7;5,74;13;12;9;1;;;74161;1,47;1,17
Sai Mai;63776;387,5;;7;4;3;1;;;213001;0,14;0,03
Khan Na Yao;63026;391,2;;14;6;4;1;;;92605;0,43;0,12
Bang Khen;62857;365,2;5,83;35;18;11;1;;;183009;0,61;0,23
Bang Kapi;58929;430,7;6,29;63;44;35;0;;;140471;2,12;2,09
Bang Khun Thian;58532;281,2;;8;2;2;1;;;185278;0,13;0,04
Wang Thonglang;57949;350,7;6,43;35;24;19;0;;;101898;2,09;1,9
Bang Khae;57742;326,9;6,55;15;9;8;1;;;191610;0,26;0,16
Lat Krabang;57090;;;12;0;0;1;;;182840;0,22;0,03
Bueng Kum;51549;266,7;6,28;25;19;18;1;;;134204;1,07;0,41
Taling Chan;44981;260,4;;2;2;1;1;;;100213;0,13;0,14
Prawet;41667;294,9;;17;6;4;1;;;183369;0,44;0,15
Saphan Sung;39960;;;3;0;0;1;;;97935;0,12;0,15
Bang Bon;39286;264,7;;1;1;0;1;;;97671;0,01;0,01
Nong Khaem;;140;;0;1;0;1;;;154398;0,01;0,01
